2017/09/20 20:37:58 loading corpus...
2017/09/20 20:37:59 loaded 264 programs (3328 total, 0 deleted)
2017/09/20 20:55:19 executed programs: 1183766, crashes: 0
2017/09/20 20:55:29 executed programs: 1195411, crashes: 0
2017/09/20 20:55:39 executed programs: 1210601, crashes: 0
2017/09/20 20:55:49 executed programs: 1226224, crashes: 0
2017/09/20 20:55:59 executed programs: 1234095, crashes: 0
2017/09/20 20:56:09 executed programs: 1245727, crashes: 0
2017/09/20 20:56:19 executed programs: 1261186, crashes: 0
2017/09/20 20:56:29 executed programs: 1275657, crashes: 0
2017/09/20 20:56:39 executed programs: 1283226, crashes: 0
2017/09/20 20:56:49 executed programs: 1301449, crashes: 0
2017/09/20 20:56:59 executed programs: 1313262, crashes: 0
2017/09/20 20:57:09 executed programs: 1324994, crashes: 0
2017/09/20 20:57:19 executed programs: 1340518, crashes: 0
2017/09/20 20:57:29 executed programs: 1347937, crashes: 0
2017/09/20 20:57:39 executed programs: 1363933, crashes: 0
2017/09/20 20:57:49 executed programs: 1379472, crashes: 0
2017/09/20 20:57:59 executed programs: 1391028, crashes: 0
2017/09/20 20:58:09 executed programs: 1402662, crashes: 0
2017/09/20 20:58:19 executed programs: 1417823, crashes: 0
2017/09/20 20:58:29 executed programs: 1425392, crashes: 0
2017/09/20 20:58:39 executed programs: 1442651, crashes: 0
2017/09/20 20:58:49 executed programs: 1455221, crashes: 0
2017/09/20 20:58:59 executed programs: 1466755, crashes: 0
2017/09/20 20:59:09 executed programs: 1478012, crashes: 0
2017/09/20 20:59:19 executed programs: 1493542, crashes: 0
2017/09/20 20:59:29 executed programs: 1504834, crashes: 0
2017/09/20 20:59:39 executed programs: 1516632, crashes: 0
2017/09/20 20:59:49 executed programs: 1532224, crashes: 0
2017/09/20 20:59:59 executed programs: 1543985, crashes: 0
2017/09/20 21:00:09 executed programs: 1555837, crashes: 0
2017/09/20 21:00:19 executed programs: 1571279, crashes: 0
2017/09/20 21:00:29 executed programs: 1582987, crashes: 0
2017/09/20 21:00:39 executed programs: 1594547, crashes: 0
2017/09/20 21:00:49 executed programs: 1610042, crashes: 0
2017/09/20 21:00:59 executed programs: 1621701, crashes: 0
2017/09/20 21:01:09 executed programs: 1633279, crashes: 0
2017/09/20 21:01:19 executed programs: 1648603, crashes: 0
2017/09/20 21:01:29 executed programs: 1660627, crashes: 0
2017/09/20 21:01:39 executed programs: 1672159, crashes: 0
2017/09/20 21:01:49 executed programs: 1687684, crashes: 0
2017/09/20 21:01:59 executed programs: 1699294, crashes: 0
2017/09/20 21:02:09 executed programs: 1710816, crashes: 0
2017/09/20 21:02:19 executed programs: 1728167, crashes: 0
2017/09/20 21:02:29 executed programs: 1736975, crashes: 0
2017/09/20 21:02:39 executed programs: 1752664, crashes: 0
2017/09/20 21:02:49 executed programs: 1767973, crashes: 0
2017/09/20 21:02:59 executed programs: 1775685, crashes: 0
2017/09/20 21:03:09 executed programs: 1787350, crashes: 0
2017/09/20 21:03:19 executed programs: 1802882, crashes: 0
2017/09/20 21:03:29 executed programs: 1814383, crashes: 0
2017/09/20 21:03:39 executed programs: 1829706, crashes: 0
2017/09/20 21:03:49 executed programs: 1844666, crashes: 0
2017/09/20 21:03:59 executed programs: 1852471, crashes: 0
2017/09/20 21:04:09 executed programs: 1864109, crashes: 0
2017/09/20 21:04:19 executed programs: 1879554, crashes: 0
2017/09/20 21:04:29 executed programs: 1891427, crashes: 0
2017/09/20 21:04:39 executed programs: 1907812, crashes: 0
2017/09/20 21:04:49 executed programs: 1921222, crashes: 0
2017/09/20 21:04:59 executed programs: 1930749, crashes: 0
2017/09/20 21:05:09 executed programs: 1941891, crashes: 0
2017/09/20 21:05:19 executed programs: 1957573, crashes: 0
